visitorid,recency,frequency,recency_score,frequency_score,RF_SCORE,segment,itemid,day_of_week,hour_of_day,purchased,total_events,total_purchases,last_purchase_timestamp,interaction_density,popularity_percentile,time_since_last_purchase
814378,2,117,5,5,55,champions,122456,4,17,0,50,1,2015-08-29 14:38:33.084,0.02,0.9652537001033774,3059
442825,8,4,3,5,35,loyal_customers,365037,0,10,0,73,0,2015-09-03 22:21:18.578,0.0,0.47442366024138416,3054
765726,4,35,4,5,45,loyal_customers,340315,3,20,0,52,0,2015-09-12 03:51:36.644,0.0,0.47442366024138416,3046
311035,5,0,3,1,31,about_to_sleep,355301,2,20,0,90,0,2015-09-14 20:16:42.999,0.0,0.47442366024138416,3043
372506,6,0,3,1,31,about_to_sleep,97031,0,5,0,18,0,2015-09-13 16:18:52.210,0.0,0.47442366024138416,3044
390738,8,0,3,1,31,about_to_sleep,188773,1,23,0,49,0,2015-09-11 16:36:07.420,0.0,0.47442366024138416,3046
542772,2,22,5,5,55,champions,441248,3,2,0,74,0,2015-09-10 23:21:13.551,0.0,0.47442366024138416,3047
1332989,4,1,4,4,44,loyal_customers,330894,5,19,0,151,1,2015-09-15 17:22:12.109,0.006622516556291391,0.9652537001033774,3042
306875,1,87,5,5,55,champions,202835,0,22,0,55,0,2015-09-10 17:37:37.312,0.0,0.47442366024138416,3047
711097,30,0,1,2,12,hibernating,413179,1,1,0,51,0,2015-08-20 03:28:24.187,0.0,0.47442366024138416,3069
382001,2,0,5,1,51,new_customers,315295,2,19,0,19,0,2015-09-17 17:48:02.701,0.0,0.47442366024138416,3040
595097,22,0,2,2,22,hibernating,340387,1,20,0,20,0,2015-08-28 22:25:27.740,0.0,0.47442366024138416,3060
1370877,23,0,1,4,14,at_Risk,277220,5,9,0,22,0,2015-08-27 15:31:59.410,0.0,0.47442366024138416,3061
1129909,2,15,5,5,55,champions,2836,4,14,0,310,3,2015-09-15 05:19:00.200,0.00967741935483871,0.9933208826644998,3043
1280873,5,0,3,4,34,loyal_customers,259322,1,20,0,9,0,2015-09-14 22:17:24.051,0.0,0.47442366024138416,3043
1286804,2,20,5,5,55,champions,208869,3,1,0,38,0,2015-08-15 15:49:34.412,0.0,0.47442366024138416,3073
1049900,3,6,4,5,45,loyal_customers,396284,1,7,0,143,0,2015-09-15 19:36:19.772,0.0,0.47442366024138416,3042
1078706,4,0,4,3,43,potential_loyalists,428556,6,6,0,250,0,2015-09-15 17:52:13.509,0.0,0.47442366024138416,3042
458768,9,0,2,2,22,hibernating,189182,1,19,0,65,0,2015-09-10 01:06:35.763,0.0,0.47442366024138416,3048
455723,5,10,3,5,35,loyal_customers,443829,3,6,0,81,2,2015-09-14 13:54:42.930,0.024691358024691357,0.9864971220236449,3044
301455,30,0,1,1,11,hibernating,26477,2,2,0,281,0,2015-08-20 10:46:56.155,0.0,0.47442366024138416,3069
799855,4,3,4,5,45,loyal_customers,8170,1,2,0,7,0,2015-09-09 00:23:24.525,0.0,0.47442366024138416,3049
1407437,1,27,5,5,55,champions,389814,1,22,0,364,8,2015-09-12 23:09:13.419,0.02197802197802198,0.9991683009942101,3045
215828,90,0,1,1,11,hibernating,27367,6,4,0,2,0,2015-06-21 04:10:49.816,0.0,0.47442366024138416,3129
707762,3,2,4,5,45,loyal_customers,338630,0,14,0,93,1,2015-09-15 23:34:17.788,0.010752688172043012,0.9652537001033774,3042
783158,1,14,5,5,55,champions,120548,5,20,0,4,0,2015-06-26 19:04:40.152,0.0,0.47442366024138416,3123
1229729,2,30,5,5,55,champions,445106,1,23,1,95,4,2015-09-02 20:09:58.891,0.042105263157894736,0.9962414011682074,3055
1199508,91,0,1,4,14,at_Risk,217031,5,10,0,5,0,2015-06-20 10:47:11.109,0.0,0.47442366024138416,3130
1241983,2,2,5,5,55,champions,62599,3,23,0,279,2,2015-09-17 23:05:09.229,0.007168458781362007,0.9864971220236449,3040
827000,4,0,4,3,43,potential_loyalists,215308,5,13,0,272,0,2015-09-15 05:36:36.531,0.0,0.47442366024138416,3043
316365,10,0,2,1,21,hibernating,19680,2,1,0,10,0,2015-09-09 17:38:46.878,0.0,0.47442366024138416,3048
813689,1,47,5,5,55,champions,325310,5,4,0,764,11,2015-09-17 18:38:11.934,0.014397905759162303,0.999597976695411,3040
1294160,2,12,5,5,55,champions,161942,0,2,0,34,0,2015-09-14 02:30:42.634,0.0,0.47442366024138416,3044
582525,2,72,5,5,55,champions,147,6,16,0,98,4,2015-09-17 20:57:25.827,0.04081632653061224,0.9962414011682074,3040
706360,3,1,4,4,44,loyal_customers,97158,5,4,0,59,1,2015-09-16 14:17:26.676,0.01694915254237288,0.9652537001033774,3041
1011383,3,6,4,5,45,loyal_customers,57788,3,15,0,459,6,2015-09-16 19:47:12.531,0.013071895424836602,0.9984429573600044,3041
585994,44,0,1,2,12,hibernating,287336,3,21,0,5,0,2015-08-06 20:27:04.374,0.0,0.47442366024138416,3082
487986,33,240,1,5,15,cant_loose,464895,4,17,0,93,4,2015-08-17 20:51:14.913,0.043010752688172046,0.9962414011682074,3071
976557,4,0,4,3,43,potential_loyalists,88289,2,13,0,97,0,2015-09-15 22:31:24.503,0.0,0.47442366024138416,3042
1325552,4,6,4,5,45,loyal_customers,11621,2,2,0,19,1,2015-09-04 04:18:31.395,0.05263157894736842,0.9652537001033774,3054
1078219,12,0,2,3,23,at_Risk,79287,2,2,0,10,0,2015-09-07 00:03:21.330,0.0,0.47442366024138416,3051
643776,2,2,5,5,55,champions,400800,6,5,0,9,0,2015-09-17 17:40:18.074,0.0,0.47442366024138416,3040
729096,4,0,4,2,42,potential_loyalists,412060,1,5,0,27,0,2015-09-15 05:22:46.063,0.0,0.47442366024138416,3043
1038485,4,9,4,5,45,loyal_customers,393111,1,1,0,613,6,2015-09-15 19:58:07.016,0.009787928221859706,0.9984429573600044,3042
320624,37,0,1,1,11,hibernating,425682,5,19,0,86,0,2015-08-13 23:14:01.708,0.0,0.47442366024138416,3075
1162050,3,0,4,3,43,potential_loyalists,210451,6,23,0,23,0,2015-06-10 02:00:04.841,0.0,0.47442366024138416,3140
592561,3,250,4,5,45,loyal_customers,449489,3,20,0,319,8,2015-09-16 23:23:11.703,0.025078369905956112,0.9991683009942101,3041
1260010,7,1,3,4,34,loyal_customers,176905,4,2,0,28,0,2015-09-12 22:45:32.655,0.0,0.47442366024138416,3045
856013,9,0,2,3,23,at_Risk,43678,4,5,0,57,0,2015-09-10 19:43:17.357,0.0,0.47442366024138416,3047
1002050,3,0,4,3,43,potential_loyalists,61859,0,22,0,74,0,2015-09-16 02:04:06.211,0.0,0.47442366024138416,3042
436698,9,0,2,2,22,hibernating,255537,5,21,0,58,0,2015-09-10 18:21:18.626,0.0,0.47442366024138416,3047
1200845,2,10,5,5,55,champions,34278,5,17,0,98,2,2015-09-15 12:28:56.680,0.02040816326530612,0.9864971220236449,3043
367665,2,0,5,1,51,new_customers,69194,6,19,0,11,0,2015-09-17 15:47:13.750,0.0,0.47442366024138416,3040
78836,4,0,4,1,41,promising,437530,1,21,0,17,0,2015-07-13 17:37:30.586,0.0,0.47442366024138416,3106
788595,20,0,2,2,22,hibernating,29246,1,20,0,7,0,2015-08-30 20:51:49.231,0.0,0.47442366024138416,3058
768746,1,0,5,2,52,potential_loyalists,357008,4,4,0,93,0,2015-09-18 01:35:16.661,0.0,0.47442366024138416,3040
1291065,10,3,2,5,25,cant_loose,53857,2,4,0,25,0,2015-08-31 19:05:33.395,0.0,0.47442366024138416,3057
1126573,5,1,3,4,34,loyal_customers,459936,4,22,0,261,1,2015-09-14 14:15:40.877,0.0038314176245210726,0.9652537001033774,3044
788136,4,0,4,2,42,potential_loyalists,138832,3,4,0,3,0,2015-08-18 01:23:29.238,0.0,0.47442366024138416,3071
1115208,2,21,5,5,55,champions,32978,5,3,0,23,0,2015-09-11 02:17:29.798,0.0,0.47442366024138416,3047
1315116,4,0,4,4,44,loyal_customers,447563,1,19,0,6,0,2015-09-15 19:39:11.582,0.0,0.47442366024138416,3042
52642,9,1,2,4,24,at_Risk,314952,2,23,0,104,1,2015-09-10 19:22:57.685,0.009615384615384616,0.9652537001033774,3047
1158214,3,187,4,5,45,loyal_customers,46156,5,15,0,551,31,2015-09-16 04:41:08.337,0.056261343012704176,0.9999425680993445,3042
542306,2,4,5,5,55,champions,351074,5,1,0,223,2,2015-09-17 21:58:16.644,0.008968609865470852,0.9864971220236449,3040
798002,1,67,5,5,55,champions,46777,6,3,0,24,0,2015-08-30 03:43:29.770,0.0,0.47442366024138416,3059
1150086,1,28930,5,5,55,champions,70303,3,21,0,74,0,2015-09-15 16:58:58.230,0.0,0.47442366024138416,3042
1114510,3,2,4,5,45,loyal_customers,217993,1,22,0,55,0,2015-09-14 14:12:09.126,0.0,0.47442366024138416,3044
1248969,2,199,5,5,55,champions,464731,6,23,0,512,10,2015-09-17 04:54:54.887,0.01953125,0.9994894942163949,3041
405409,5,0,3,2,32,about_to_sleep,44195,1,14,0,53,0,2015-08-24 01:08:11.182,0.0,0.47442366024138416,3065
538269,65,0,1,2,12,hibernating,131975,1,21,0,8,0,2015-07-16 08:45:40.127,0.0,0.47442366024138416,3104
560154,2,5,5,5,55,champions,140532,6,11,0,218,3,2015-09-17 02:45:31.891,0.013761467889908258,0.9933208826644998,3041
1385002,28,3,1,5,15,cant_loose,238059,4,2,0,231,3,2015-08-22 02:17:49.071,0.012987012987012988,0.9933208826644998,3067
338352,4,0,4,1,41,promising,327219,3,23,0,77,0,2015-09-15 02:25:14.698,0.0,0.47442366024138416,3043
1203973,3,4,4,5,45,loyal_customers,47906,3,20,0,36,0,2015-09-04 19:52:29.057,0.0,0.47442366024138416,3053
1345330,3,8,4,5,45,loyal_customers,181550,4,22,0,118,4,2015-09-16 21:31:59.528,0.03389830508474576,0.9962414011682074,3041
1134683,9,2,2,5,25,cant_loose,377798,4,21,0,10,0,2015-08-12 22:59:16.070,0.0,0.47442366024138416,3076
1029176,1,3,5,5,55,champions,350629,3,21,0,1019,3,2015-09-18 01:14:03.610,0.002944062806673209,0.9933208826644998,3040
370915,7,16,3,5,35,loyal_customers,285680,6,23,0,39,0,2015-09-06 23:00:27.146,0.0,0.47442366024138416,3051
241499,31,0,1,1,11,hibernating,400918,6,5,0,8,0,2015-08-19 20:00:00.305,0.0,0.47442366024138416,3069
1034711,101,6,1,5,15,cant_loose,331510,5,21,0,31,2,2015-06-10 05:36:29.216,0.06451612903225806,0.9864971220236449,3140
247235,1,6565,5,5,55,champions,365411,2,16,0,49,2,2015-09-10 20:09:29.185,0.04081632653061224,0.9864971220236449,3047
1173174,6,0,3,3,33,need_attention,437499,5,3,0,13,0,2015-08-27 19:19:09.306,0.0,0.47442366024138416,3061
938101,15,0,2,3,23,at_Risk,334994,6,23,0,24,0,2015-09-04 01:41:51.148,0.0,0.47442366024138416,3054
187429,5,0,3,1,31,about_to_sleep,463238,1,5,0,43,0,2015-09-14 19:52:20.650,0.0,0.47442366024138416,3043
574590,8,0,3,2,32,about_to_sleep,128209,0,16,0,29,0,2015-09-11 15:17:08.947,0.0,0.47442366024138416,3046
262433,70,0,1,1,11,hibernating,228653,5,22,0,2,0,2015-07-11 22:01:32.116,0.0,0.47442366024138416,3108
672368,3,1,4,4,44,loyal_customers,103221,0,11,0,210,1,2015-09-16 19:30:07.651,0.004761904761904762,0.9652537001033774,3041
77623,3,0,4,1,41,promising,293146,2,15,0,6,0,2015-09-16 15:21:21.223,0.0,0.47442366024138416,3041
191410,5,1,3,4,34,loyal_customers,360156,1,16,0,38,1,2015-09-14 02:06:25.502,0.02631578947368421,0.9652537001033774,3044
887894,11,0,2,3,23,at_Risk,91219,3,5,0,68,0,2015-09-08 17:22:34.256,0.0,0.47442366024138416,3049
542287,1,19,5,5,55,champions,21642,6,22,0,6,0,2015-07-26 22:07:43.603,0.0,0.47442366024138416,3093
33492,3,2,4,4,44,loyal_customers,327673,6,14,0,13,0,2015-08-05 17:55:28.705,0.0,0.47442366024138416,3083
659236,1,0,5,2,52,potential_loyalists,65157,2,3,0,23,0,2015-09-10 23:38:34.191,0.0,0.47442366024138416,3047
1259085,110,0,1,4,14,at_Risk,382542,0,22,0,2,0,2015-06-01 22:40:51.108,0.0,0.47442366024138416,3148
871520,5,1,3,4,34,loyal_customers,273754,0,2,0,46,1,2015-09-14 15:41:34.975,0.021739130434782608,0.9652537001033774,3043
31383,3,0,4,1,41,promising,423528,0,0,0,49,0,2015-09-16 02:23:18.598,0.0,0.47442366024138416,3042
1073383,2,0,5,3,53,potential_loyalists,184249,4,4,0,66,0,2015-09-17 00:44:03.645,0.0,0.47442366024138416,3041
445717,68,0,1,2,12,hibernating,200011,3,21,0,4,0,2015-07-13 17:34:34.812,0.0,0.47442366024138416,3106
893695,2,21,5,5,55,champions,202170,2,19,0,238,1,2015-09-17 01:11:54.099,0.004201680672268907,0.9652537001033774,3041
408422,3,0,4,2,42,potential_loyalists,435762,2,2,0,8,0,2015-09-16 15:37:19.313,0.0,0.47442366024138416,3041
431154,2,0,5,2,52,potential_loyalists,225778,6,1,0,768,0,2015-09-17 21:40:33.873,0.0,0.47442366024138416,3040
60124,2,0,5,1,51,new_customers,217630,2,17,0,13,0,2015-09-17 02:52:55.804,0.0,0.47442366024138416,3041
1166870,2,45,5,5,55,champions,28072,3,17,0,24,3,2015-09-10 17:37:42.533,0.125,0.9933208826644998,3047
1177556,44,0,1,3,13,at_Risk,94684,3,19,0,2,0,2015-08-06 18:29:51.631,0.0,0.47442366024138416,3082
309289,2,0,5,1,51,new_customers,457167,1,20,0,29,0,2015-08-23 23:02:29.721,0.0,0.47442366024138416,3065
104826,4,0,4,1,41,promising,334433,1,17,0,28,0,2015-09-15 20:11:18.439,0.0,0.47442366024138416,3042
366333,3,0,4,1,41,promising,140991,6,15,0,30,0,2015-09-16 16:50:52.260,0.0,0.47442366024138416,3041
1371053,9,0,2,4,24,at_Risk,230538,0,1,0,29,0,2015-09-10 09:06:57.661,0.0,0.47442366024138416,3048
27460,3,0,4,1,41,promising,321741,4,5,0,102,0,2015-09-16 23:09:39.352,0.0,0.47442366024138416,3041
689058,4,5,4,5,45,loyal_customers,420549,0,19,0,117,3,2015-09-14 07:57:14.324,0.02564102564102564,0.9933208826644998,3044
1115158,70,0,1,3,13,at_Risk,453772,2,20,0,11,0,2015-07-11 23:21:15.852,0.0,0.47442366024138416,3108
616433,2,12,5,5,55,champions,219512,1,21,0,1800,12,2015-09-17 19:28:07.944,0.006666666666666667,0.9996894423149736,3040
391272,5,0,3,1,31,about_to_sleep,446663,6,20,0,46,0,2015-09-14 05:30:44.657,0.0,0.47442366024138416,3044
476050,2,2,5,5,55,champions,34756,1,14,0,27,0,2015-09-11 04:17:53.261,0.0,0.47442366024138416,3047
249552,5,2,3,5,35,loyal_customers,356897,5,5,0,31,0,2015-09-14 20:31:48.983,0.0,0.47442366024138416,3043
1073780,2,14,5,5,55,champions,132337,3,5,0,14,0,2015-08-19 21:56:31.474,0.0,0.47442366024138416,3069
1179955,3,9,4,5,45,loyal_customers,441676,0,19,0,37,0,2015-09-16 20:03:20.805,0.0,0.47442366024138416,3041
552784,64,0,1,2,12,hibernating,242515,4,16,0,1,0,2015-07-17 16:23:32.814,0.0,0.47442366024138416,3102
152963,1,15204,5,5,55,champions,270950,0,23,0,221,2,2015-09-14 23:39:31.178,0.00904977375565611,0.9864971220236449,3043
824859,5,0,3,3,33,need_attention,346275,5,20,0,6,0,2015-07-27 04:23:35.910,0.0,0.47442366024138416,3093
1371102,3,0,4,4,44,loyal_customers,350538,0,12,0,18,0,2015-09-16 21:52:04.787,0.0,0.47442366024138416,3041
138169,4,7,4,5,45,loyal_customers,120432,0,18,0,68,1,2015-09-09 20:24:30.397,0.014705882352941176,0.9652537001033774,3048
1342672,1,15,5,5,55,champions,183137,0,4,0,105,2,2015-09-18 01:00:20.433,0.01904761904761905,0.9864971220236449,3040
100067,2,88,5,5,55,champions,450082,0,20,0,490,22,2015-09-17 05:44:59.093,0.044897959183673466,0.9999021530581423,3041
198068,3,0,4,1,41,promising,181601,2,20,0,6,0,2015-09-02 20:39:32.899,0.0,0.47442366024138416,3055
792642,2,24,5,5,55,champions,194940,4,20,0,55,0,2015-09-17 01:37:15.474,0.0,0.47442366024138416,3041
187755,1,0,5,1,51,new_customers,331168,5,19,0,251,0,2015-09-18 02:16:24.019,0.0,0.47442366024138416,3040
975470,10,2,2,5,25,cant_loose,316351,4,20,0,18,1,2015-09-09 15:38:26.965,0.05555555555555555,0.9652537001033774,3048
168631,1,11,5,5,55,champions,138546,0,17,0,87,0,2015-09-15 04:26:33.976,0.0,0.47442366024138416,3043
488479,6,0,3,2,32,about_to_sleep,183258,3,13,0,15,0,2015-09-13 13:34:40.802,0.0,0.47442366024138416,3045
315347,5,0,3,1,31,about_to_sleep,158360,0,18,0,58,0,2015-09-14 20:34:59.618,0.0,0.47442366024138416,3043
1006611,2,5,5,5,55,champions,418809,6,17,0,65,1,2015-09-16 15:18:11.460,0.015384615384615385,0.9652537001033774,3041
236590,11,0,2,1,21,hibernating,80311,4,18,0,16,0,2015-09-08 03:44:49.127,0.0,0.47442366024138416,3050
1067033,1,0,5,3,53,potential_loyalists,49941,4,2,0,2,0,2015-07-24 02:08:42.833,0.0,0.47442366024138416,3096
879694,1,18,5,5,55,champions,161623,1,20,0,1072,6,2015-09-18 00:23:38.112,0.005597014925373134,0.9984429573600044,3040
540406,13,0,2,2,22,hibernating,86596,0,18,0,87,0,2015-09-06 21:14:04.012,0.0,0.47442366024138416,3051
189383,3,3,4,5,45,loyal_customers,224605,0,23,0,170,2,2015-09-16 18:36:25.996,0.011764705882352941,0.9864971220236449,3041
643400,25,0,1,2,12,hibernating,217200,1,17,0,9,0,2015-08-25 17:17:06.615,0.0,0.47442366024138416,3063
1405829,11,0,2,4,24,at_Risk,127317,4,21,0,1,0,2015-07-17 21:44:17.026,0.0,0.47442366024138416,3102
382411,5,0,3,1,31,about_to_sleep,114372,4,1,0,56,0,2015-09-14 18:40:37.349,0.0,0.47442366024138416,3043
1395818,3,53,4,5,45,loyal_customers,397692,2,14,0,85,5,2015-09-14 04:43:02.891,0.058823529411764705,0.9976814528994601,3044
837944,7,0,3,3,33,need_attention,110751,2,19,0,3,0,2015-09-12 02:45:53.280,0.0,0.47442366024138416,3046
467465,4,11,4,5,45,loyal_customers,382161,0,17,0,13,0,2015-09-14 20:13:10.901,0.0,0.47442366024138416,3043
385031,3,0,4,1,41,promising,96816,0,3,0,53,0,2015-09-16 00:52:15.926,0.0,0.47442366024138416,3042
766953,3,8,4,5,45,loyal_customers,143778,6,1,0,74,1,2015-09-04 11:49:56.020,0.013513513513513514,0.9652537001033774,3054
625795,1,855,5,5,55,champions,264858,3,0,0,18,1,2015-09-10 04:38:08.992,0.05555555555555555,0.9652537001033774,3048
1033387,6,2,3,5,35,loyal_customers,78822,2,4,0,52,1,2015-09-13 16:27:09.442,0.019230769230769232,0.9652537001033774,3044
491259,9,2,2,5,25,cant_loose,201512,1,18,0,14,0,2015-08-20 00:58:30.541,0.0,0.47442366024138416,3069
446124,5,0,3,2,32,about_to_sleep,105534,1,22,0,12,0,2015-07-23 21:48:39.307,0.0,0.47442366024138416,3096
1082266,2,18,5,5,55,champions,32581,6,6,0,256,8,2015-09-17 22:15:52.788,0.03125,0.9991683009942101,3040
663008,1,0,5,2,52,potential_loyalists,151444,0,1,0,1230,0,2015-09-18 02:04:13.476,0.0,0.47442366024138416,3040
726311,19,0,2,2,22,hibernating,224596,0,20,0,3,0,2015-07-13 20:02:04.163,0.0,0.47442366024138416,3106
328025,5,21,3,5,35,loyal_customers,330840,3,14,0,46,1,2015-09-08 15:32:38.603,0.021739130434782608,0.9652537001033774,3049
765729,8,0,3,2,32,about_to_sleep,175823,0,21,0,8,0,2015-09-11 22:43:20.878,0.0,0.47442366024138416,3046
414172,2,8,5,5,55,champions,314765,3,0,0,36,0,2015-09-17 17:53:01.900,0.0,0.47442366024138416,3040
986934,2,2,5,5,55,champions,180183,3,18,0,8,0,2015-09-10 18:07:40.356,0.0,0.47442366024138416,3047
309404,1,28,5,5,55,champions,408217,4,18,0,16,0,2015-09-11 18:30:30.467,0.0,0.47442366024138416,3046
217416,19,0,2,1,21,hibernating,164732,1,7,0,7,0,2015-08-31 01:25:23.434,0.0,0.47442366024138416,3058
1376435,130,0,1,4,14,at_Risk,377335,1,19,0,1,0,2015-05-12 19:47:56.526,0.0,0.47442366024138416,3168
586819,2,2,5,5,55,champions,358393,4,5,0,10,0,2015-09-17 19:09:37.161,0.0,0.47442366024138416,3040
388447,22,0,2,1,21,hibernating,241211,6,7,0,4,0,2015-08-28 00:47:57.532,0.0,0.47442366024138416,3061
512473,20,0,2,2,22,hibernating,362020,2,17,0,20,0,2015-08-30 05:32:46.083,0.0,0.47442366024138416,3059
124972,2,3,5,5,55,champions,148365,6,19,0,22,0,2015-09-17 11:19:18.487,0.0,0.47442366024138416,3041
818772,2,18,5,5,55,champions,442074,1,3,0,27,0,2015-09-06 06:10:45.486,0.0,0.47442366024138416,3052
678505,4,0,4,2,42,potential_loyalists,203679,3,0,0,20,0,2015-09-15 23:28:44.609,0.0,0.47442366024138416,3042
1313273,1,7,5,5,55,champions,225257,5,16,0,329,1,2015-09-17 19:41:42.599,0.00303951367781155,0.9652537001033774,3040
177913,4,0,4,1,41,promising,22956,4,5,0,58,0,2015-09-12 04:52:03.459,0.0,0.47442366024138416,3046
1152635,1,64,5,5,55,champions,268788,1,22,0,29,0,2015-08-30 03:58:17.759,0.0,0.47442366024138416,3059
557866,92,0,1,2,12,hibernating,78907,1,23,0,2,0,2015-06-19 18:09:50.750,0.0,0.47442366024138416,3130
1209148,18,18,2,5,25,cant_loose,346067,1,4,0,84,6,2015-08-04 08:05:42.624,0.07142857142857142,0.9984429573600044,3085
25336,19,7,2,5,25,cant_loose,45377,4,21,0,22,2,2015-08-04 18:10:14.922,0.09090909090909091,0.9864971220236449,3084
1319144,4,0,4,4,44,loyal_customers,51069,5,17,0,114,0,2015-09-15 20:48:18.700,0.0,0.47442366024138416,3042
19046,2,0,5,1,51,new_customers,18893,4,1,0,151,0,2015-09-17 14:56:35.579,0.0,0.47442366024138416,3040
967367,17,0,2,3,23,at_Risk,452770,3,7,0,6,0,2015-08-27 07:29:03.866,0.0,0.47442366024138416,3062
1165148,1,2581,5,5,55,champions,372641,5,21,0,28,1,2015-07-13 22:16:32.093,0.03571428571428571,0.9652537001033774,3106
145203,4,6,4,5,45,loyal_customers,284290,2,0,0,9,0,2015-07-21 20:46:56.108,0.0,0.47442366024138416,3098
631938,2,28,5,5,55,champions,424515,5,12,0,506,1,2015-09-14 22:34:50.038,0.001976284584980237,0.9652537001033774,3043
332312,2,2,5,5,55,champions,392146,1,0,0,181,2,2015-09-17 18:45:30.709,0.011049723756906077,0.9864971220236449,3040
1340061,18,0,2,4,24,at_Risk,96385,1,19,0,1,0,2015-09-01 19:18:17.947,0.0,0.47442366024138416,3056
684514,1,9811,5,5,55,champions,301721,3,23,0,323,18,2015-09-15 02:53:47.619,0.05572755417956656,0.999857483802077,3043
1277671,8,1,3,4,34,loyal_customers,459237,6,18,0,38,1,2015-09-01 22:49:36.833,0.02631578947368421,0.9652537001033774,3056
87397,1,133,5,5,55,champions,461686,3,16,0,2978,133,2015-09-18 02:39:54.833,0.04466084620550705,1.0,3040
807022,2,0,5,3,53,potential_loyalists,304751,2,17,0,18,0,2015-09-17 04:59:04.240,0.0,0.47442366024138416,3041
777898,54,0,1,2,12,hibernating,62863,0,16,0,3,0,2015-07-27 19:39:57.097,0.0,0.47442366024138416,3092
227343,1,42,5,5,55,champions,243355,2,5,0,612,5,2015-09-18 01:48:21.879,0.008169934640522876,0.9976814528994601,3040
1200114,26,0,1,4,14,at_Risk,251477,0,10,0,18,0,2015-08-24 06:41:58.182,0.0,0.47442366024138416,3065
797409,1,1737,5,5,55,champions,86391,4,17,0,55,2,2015-09-17 21:37:14.858,0.03636363636363636,0.9864971220236449,3040
699667,1,170,5,5,55,champions,230842,4,21,0,176,4,2015-09-12 14:32:13.624,0.022727272727272728,0.9962414011682074,3045
1391321,9,0,2,4,24,at_Risk,78159,2,19,0,1,0,2015-09-02 19:30:23.653,0.0,0.47442366024138416,3055
108722,2,3,5,5,55,champions,160862,3,5,0,27,0,2015-09-05 23:44:26.059,0.0,0.47442366024138416,3052
651416,3,4,4,5,45,loyal_customers,79537,2,23,0,42,0,2015-09-04 22:13:36.042,0.0,0.47442366024138416,3053
1029671,4,0,4,3,43,potential_loyalists,368262,5,17,0,12,0,2015-09-15 16:35:29.449,0.0,0.47442366024138416,3042
375601,3,0,4,1,41,promising,65409,1,2,0,28,0,2015-09-16 09:44:18.458,0.0,0.47442366024138416,3042
1029554,29,0,1,3,13,at_Risk,189834,0,3,0,29,0,2015-08-21 23:03:56.699,0.0,0.47442366024138416,3067
867904,4,0,4,3,43,potential_loyalists,396832,3,22,0,16,0,2015-09-15 04:10:49.158,0.0,0.47442366024138416,3043
